team,rank,wins,losses,draws,pts,percentage
Adelaide,1,18,5,0,72,139.3
Geelong,2,17,6,0,68,141.5
Brisbane Lions,3,16,6,1,66,114.2
Collingwood,4,16,7,0,64,122.4
Greater Western Sydney,5,16,7,0,64,115.3
Fremantle,6,16,7,0,64,109.0
Gold Coast,7,15,8,0,60,124.9
Hawthorn,8,15,8,0,60,120.9
Western Bulldogs,9,14,9,0,56,137.0
Sydney,10,12,11,0,48,97.0
Carlton,11,9,14,0,36,96.7
St Kilda,12,9,14,0,36,88.5
Port Adelaide,13,9,14,0,36,79.8
Melbourne,14,7,16,0,28,93.3
Essendon,15,6,17,0,24,69.5
North Melbourne,16,5,17,1,22,76.3
Richmond,17,5,18,0,20,66.0
West Coast,18,1,22,0,4,60.1
