round,total,games,average
Round 1,104292,4,26073
Round 2,431505,9,47945
Round 3,364117,8,45515
Round 4,249482,7,35640
Round 5,288122,8,36015
Round 6,269506,9,29945
Round 7,371835,9,41315
Round 8,405983,9,45109
Round 9,366530,9,40726
Round 10,335884,9,37320
Round 11,337352,9,37484
Round 12,375301,9,41700
Round 13,216118,7,30874
Round 14,323361,8,40420
Round 15,233346,7,33335
Round 16,254572,7,36367
Round 17,188935,7,26991
Round 18,341085,9,37898
Round 19,307847,9,34205
Round 20,315620,9,35069
Round 21,327878,9,36431
Round 22,308318,9,34258
Round 23,305464,9,33940
Round 24,304629,9,33848
Round 25,329008,9,36556
Finals,600937,9,66771
