team,home_attendance,home_games,home_average,away_attendance,away_games,away_average,total_attendance,total_games,total_average,finals_attendance,finals_games,finals_average
Adelaide,546390,12,45533,401887,11,36535,948277,23,41229,104192,2,52096
Brisbane Lions,336583,11,30598,450588,12,37549,787171,23,34225,319037,4,79759
Carlton,582257,12,48521,565222,11,51384,1147479,23,49890,0,0,0
Collingwood,805250,12,67104,579007,11,52637,1384257,23,60185,148210,2,74105
Essendon,440377,11,40034,569442,12,47454,1009819,23,43905,0,0,0
Fremantle,503341,11,45758,354327,12,29527,857668,23,37290,57507,1,57507
Geelong,389830,11,35439,527085,12,43924,916915,23,39866,285953,3,95318
Gold Coast,172469,11,15679,324820,12,27068,497289,23,21621,94135,2,47068
Greater Western Sydney,132285,11,12026,319846,12,26654,452131,23,19658,20634,1,20634
Hawthorn,456266,11,41479,589793,12,49149,1046059,23,45481,172206,3,57402
Melbourne,449984,12,37499,396064,11,36006,846048,23,36785,0,0,0
North Melbourne,287534,12,23961,386427,11,35130,673961,23,29303,0,0,0
Port Adelaide,438784,12,36565,321208,11,29201,759992,23,33043,0,0,0
Richmond,498403,12,41534,437875,11,39807,936278,23,40708,0,0,0
St Kilda,357314,12,29776,359967,11,32724,717281,23,31186,0,0,0
Sydney,377046,11,34277,414445,12,34537,791491,23,34413,0,0,0
West Coast,468334,11,42576,349109,12,29092,817443,23,35541,0,0,0
Western Bulldogs,413643,12,34470,308978,11,28089,722621,23,31418,0,0,0
