venue,home_away_attendance,home_away_games,home_away_average,finals_attendance,finals_games,finals_average,total_attendance,total_games,total_average
Adelaide Oval,1119114,27,41449,104192,2,52096,1223306,29,42183
Barossa Park,19345,2,9673,0,0,0,19345,2,9673
Bellerive Oval,18571,2,9286,0,0,0,18571,2,9286
Carrara,150339,9,16704,0,0,0,150339,9,16704
Docklands,1340144,43,31166,0,0,0,1340144,43,31166
Eureka Stadium,4814,1,4814,0,0,0,4814,1,4814
Gabba,336583,11,30598,36628,1,36628,373211,12,31101
Handian Oval,12715,1,12715,0,0,0,12715,1,12715
Kardinia Park,301084,10,30108,0,0,0,301084,10,30108
M.C.G.,2738440,47,58265,381976,4,95494,3120416,51,61185
Manuka Oval,32992,3,10997,0,0,0,32992,3,10997
Marrara Oval,22130,2,11065,0,0,0,22130,2,11065
Norwood Oval,18477,2,9239,0,0,0,18477,2,9239
Perth Stadium,1003083,23,43612,57507,1,57507,1060590,24,44191
S.C.G.,377046,11,34277,0,0,0,377046,11,34277
Sydney Showground,99293,8,12412,20634,1,20634,119927,9,13325
Traeger Park,6721,1,6721,0,0,0,6721,1,6721
York Park,55209,4,13802,0,0,0,55209,4,13802
