venue,city,state,latitude,longitude,capacity
Adelaide Oval,Adelaide,SA,-34.9154,138.5960,53500
Barossa Park,Lyndoch,SA,-34.6069,138.8867,10000
Bellerive Oval,Hobart,TAS,-42.8773,147.3737,20000
Carrara,Gold Coast,QLD,-28.0064,153.3678,25000
Docklands,Melbourne,VIC,-37.8166,144.9475,53800
Eureka Stadium,Ballarat,VIC,-37.5403,143.8487,11000
Gabba,Brisbane,QLD,-27.4858,153.0381,42000
Handian Oval,Mount Barker,SA,-35.0670,138.8580,8000
Kardinia Park,Geelong,VIC,-38.1583,144.3547,40000
M.C.G.,Melbourne,VIC,-37.8199,144.9834,100024
Manuka Oval,Canberra,ACT,-35.3183,149.1347,13550
Marrara Oval,Darwin,NT,-12.3994,130.8877,12500
Norwood Oval,Adelaide,SA,-34.9202,138.6285,15000
Perth Stadium,Perth,WA,-31.9510,115.8890,61000
S.C.G.,Sydney,NSW,-33.8915,151.2248,48000
Sydney Showground,Sydney,NSW,-33.8430,151.0670,24000
Traeger Park,Alice Springs,NT,-23.7037,133.8796,10000
York Park,Launceston,TAS,-41.4258,147.1388,21000
